Address,ContractName,Balance,TxCount
0x3dd8c3225d24c1c1207616ce63498b25a8bfce76,ShikfToken,0 ,5
0x92185d0a8aD37a4997f4560ca450953e90e3a876,MyToken,0 ,3
0x10dc623fcb8a3c151875f03d442103cbf6469be6,DeBiToken,0 ,5
0xf5683184c505500394ddabc22a3d7f0ba481c1b8,A2AToken,0 ,3
0x028a0dc391e1003d454f7766183f8ff431919eef,SYCC,0 ,6
0x78eb8dc641077f049f910659b6d580e80dc4d237,SocialMediaMarketToken,0 ,77
0x1ba2626b5753b7a6cfe785ed9e28fb1c85793fa6,SLUTZToken,0 ,13
0xe7a6339e39ebcfbe6edb48311492337f0778d598,MyAdvancedToken,0 ,3
0xa93f0ead4d1daa429938182d04ea70bdc0441927,HeroNodeToken,0 ,9
0x5e4f41b38e1a9520dd351c98e8ce2b8cbfe09532,IPToken,0 ,7
0xbbf283a1386b1b5e258eec60f27f775972c68571,TokenERC20,0 ,9
0x8542325b72c6d9fc0ad2ca965a78435413a915a0,OysterShell,0 ,23
0xd2f7a3cbcc4aa43de3cd23f19bd5d9ce4524e135,SaturnPresale,0 ,14
0x93b4ed8ae7368d6e7faea387998ce3752d2370fc,NIMBUS,0 ,40
0x94fa3c10ed686893b2c714b6a7a94ac920b6057a,TokenERC20,0 ,22
0x095cd13b069f9f7105a928fcaada1edc625598f2,NBW,0 ,48
0x2b0e91a530bac5e0563a7f8d40ea7fb34cfadc3f,TestyTest,0 ,20
0x1e83cdd27d0b34c727c417759585e87e2770c28c,TestyTest,0 ,5
0x5f436fc30b41a9ec6b2cbf83103188fc1f988def,TestyTest,0 ,3
0xc57d3f8fc60d8bc470cc4be31a5d989c222d56cc,SCAM,0 ,7
0x9a39d043c72f24e9af4352ec6be69e0c9269edba,CanSend,0 ,259
0xc1a0092a662ff7a33411ef0e283f9d8b7fae62ef,ProofOfPassiveDividends,7.88483172812624455 ,151
0x757Df3c3cAD364Da4bBe0795f1feA5Cb7e91774e,Robincoin,0 ,6
0x8c41aeb257268e02a39dadb92c493c56ee526e43,ProofOfStableCoin,420 wei,4
0xc1259208d9B3025Cd6fb1ca96aBF7E1a62797273,MintedTokenCappedCrowdsaleExt,0 ,3
0x34740EcdEebBAA06F83b8c84C9bC729067fCA47a,MintedTokenCappedCrowdsaleExt,0 ,3
0x82D4Fb863d7964ef87f5B12f2D33a927d6b28a1f,MintedTokenCappedCrowdsaleExt,0 ,3
0xa7237D26d78cE47d6690B12EF932D4DA45FBfb6e,MintedTokenCappedCrowdsaleExt,0 ,5
0x290D0CfBA0eEe0BDD504bE68CD4bf3cED75A6B43,CrowdsaleTokenExt,0 ,15
0x170836bdfbbe668480c311f45e416dd9bde303f4,TwoExRush,0 ,5
0x3a03afa73623b99eedaa6180a869dd5bde17a601,CheapLambos,0 ,4
0x657ccd6a9816a49da1bce76ff5245de29ce73807,GiveMeLambosVitalik,0 ,3
0xae3350fdec3819e4d2a30b97835f0ccfe0973a21,Lambo,0 ,3
0x8002546267f59b750471b08e3d41a016c6f03fc2,GiveMeLambosVitalik,0 ,3
0x5e211d556907edbfee7d05f278c2b2fa5b6a5f16,Airdropper,0 ,10
0x4f27053f32eda8af84956437bc00e5ffa7003287,ThriveToken,0 ,4
0xe117bb9D1E0fc6E859D9bf174C53baa7C673547a,Crowdsale,0.5 ,4
0x4fee2d21aaca705b70f86db48fe4b166482f7700,JUST,0 ,962
